Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
66,4.0,168.0,26.0,0.04,354.9121210633238,520.6521683799208,2.794301616232143,139.71508081160718,0.5489999999999999,0.0,prosperity,0.01
67,4.0,168.0,26.0,0.04,354.9121210633238,539.3608945457817,2.915184817585216,145.7592408792608,0.549,0.0,prosperity,0.01
68,4.0,168.0,26.0,0.04,354.9121210633238,553.8415076038283,2.978321153957755,148.9160576978878,0.549,0.0,prosperity,0.01
69,4.0,168.0,26.0,0.04,354.9121210633238,564.9609133312363,2.9973959216166226,149.8697960808311,0.549,0.0,prosperity,0.01
70,4.0,168.0,26.0,0.04,354.9121210633238,582.6517057507803,3.097774803146876,154.8887401573438,0.5489999999999999,0.0,prosperity,0.01
71,4.0,168.0,26.0,0.04,354.9121210633238,602.5077518237141,3.219725703626143,160.98628518130715,0.5489999999999999,0.0,prosperity,0.01
72,4.0,168.0,26.0,0.04,354.9121210633238,616.6200414849598,3.2663827934642247,163.31913967321125,0.5489999999999999,0.0,prosperity,0.01
73,4.0,168.0,26.0,0.04,354.9121210633238,637.4558594317365,3.3933169432279318,169.66584716139658,0.549,0.0,prosperity,0.01
74,4.0,168.0,26.0,0.04,354.9121210633238,660.8188865340178,3.5471467080606884,177.35733540303443,0.549,0.0,prosperity,0.01
75,4.0,168.0,26.0,0.04,354.9121210633238,677.7722388738059,3.615898401656931,180.7949200828465,0.549,0.0,prosperity,0.01
76,4.0,168.0,26.0,0.04,354.9121210633238,699.8147307840343,3.7450603716124107,187.25301858062053,0.5489999999999999,0.0,prosperity,0.01
77,4.0,168.0,26.0,0.04,354.9121210633238,720.6782725562498,3.853669617982639,192.68348089913195,0.549,0.0,prosperity,0.01
78,4.0,168.0,26.0,0.04,354.9121210633238,741.4588172652859,3.9566445440764157,197.83222720382088,0.549,0.0,prosperity,0.01
79,4.0,168.0,26.0,0.04,354.9121210633238,765.2937181038471,4.093647963376958,204.68239816884787,0.5489999999999999,-50.0,prosperity,0.01
80,3.0,168.0,26.0,0.03,354.9121210633238,790.872679077309,4.247266655707998,212.36333278539988,0.5489999999999999,0.0,prosperity,0.01
81,3.0,168.0,26.0,0.03,354.9121210633238,814.8073143137782,4.419173297038631,220.95866485193156,0.5489999999999999,0.0,prosperity,0.01
82,3.0,168.0,26.0,0.03,354.9121210633238,847.0028568110823,4.68808163136203,234.40408156810153,0.549,0.0,prosperity,0.01
83,3.0,168.0,26.0,0.03,354.9121210633238,874.6603195235737,4.893004665899108,244.6502332949554,0.549,0.0,prosperity,0.01
84,3.0,168.0,26.0,0.03,354.9121210633238,910.9331502493463,5.199541920107528,259.97709600537644,0.549,0.0,prosperity,0.01
85,3.0,168.0,26.0,0.03,354.9121210633238,944.7406259490067,5.466415179376233,273.3207589688116,0.549,0.0,prosperity,0.01
86,3.0,168.0,26.0,0.03,354.9121210633238,976.9627643191537,5.7053431624198865,285.2671581209942,0.549,0.0,prosperity,0.01
87,3.0,168.0,26.0,0.03,354.9121210633238,1007.3868892207279,5.915034627496451,295.7517313748226,0.5489999999999999,0.0,prosperity,0.01
88,3.0,168.0,26.0,0.03,354.9121210633238,1041.9613621118779,6.169499447514738,308.47497237573685,0.5489999999999999,0.0,prosperity,0.01
89,3.0,168.0,26.0,0.03,354.9121210633238,1084.559389059861,6.517587315296186,325.8793657648092,0.5489999999999999,0.0,prosperity,0.01
90,3.0,168.0,26.0,0.03,354.9121210633238,1124.4039531807052,6.819666397171611,340.98331985858067,0.549,0.0,prosperity,0.01
91,3.0,170.0,26.0,0.03,367.0938668546185,1172.3632003049759,7.213010437260178,360.650521863009,0.541,0.0,prosperity,0.01
92,3.0,170.0,26.0,0.03,367.0938668546185,1218.3057926076895,7.57079857203678,378.539928601839,0.5369999999999999,0.0,prosperity,0.01
93,3.0,170.0,26.0,0.03,367.0938668546185,1260.503124243392,7.87157871684719,393.5789358423595,0.537,0.0,prosperity,0.01
94,3.0,172.0,26.0,0.03,381.1778187663852,1292.6869984390376,8.032192850418275,401.60964252091367,0.537,0.0,prosperity,0.01
95,3.0,172.0,26.0,0.03,381.1778187663852,1323.212596274941,8.173435928599627,408.6717964299813,0.535,0.0,prosperity,0.01
96,3.0,172.0,26.0,0.03,381.1778187663852,1366.4992997476445,8.469712119735012,423.48560598675056,0.535,0.0,prosperity,0.01
97,3.0,172.0,26.0,0.03,381.1778187663852,1421.638838847954,8.905456293242118,445.2728146621059,0.535,0.0,prosperity,0.01
98,3.0,172.0,26.0,0.03,381.1778187663852,1474.541702322976,9.300215863168894,465.0107931584448,0.5349999999999999,0.0,prosperity,0.01
99,3.0,174.0,26.0,0.03,393.79994789236144,1523.8760841026328,9.634814418991857,481.7407209495929,0.535,-46.0,prosperity,0.01
100,1.9999999999999996,174.0,26.0,0.019999999999999997,393.79994789236144,1576.455745026852,10.003738332475518,500.18691662377586,0.535,0.0,prosperity,0.01
101,1.9999999999999996,174.0,26.0,0.019999999999999997,393.79994789236144,1645.8818773110372,10.676659624431538,533.8329812215769,0.535,0.0,prosperity,0.01
102,1.9999999999999996,176.0,26.0,0.019999999999999997,404.36892243281187,1726.230874734835,11.472833613126049,573.6416806563025,0.5269999999999999,0.0,prosperity,0.01
103,1.9999999999999996,178.0,26.0,0.019999999999999997,415.04232873144946,1796.405589030515,12.125966548524724,606.2983274262361,0.523,0.0,prosperity,0.01
104,1.9999999999999996,180.0,26.0,0.019999999999999997,433.38121902539075,1869.00340071493,12.793643776318161,639.6821888159078,0.518,0.0,prosperity,0.01
105,1.9999999999999996,188.0,26.0,0.019999999999999997,498.7428796385445,1939.0658884348384,13.413082605348498,670.6541302674249,0.503,0.0,prosperity,0.01
106,1.9999999999999996,192.0,27.0,0.019999999999999997,531.2397210004303,2015.9939597112025,13.765390493046016,688.2695246523008,0.48300000000000004,0.0,prosperity,0.01
107,1.9999999999999996,192.0,27.0,0.019999999999999997,531.2397210004303,2082.007733675345,14.322092644913505,716.1046322456755,0.47900000000000004,0.0,prosperity,0.01
108,1.9999999999999996,198.0,28.0,0.019999999999999997,580.0569510252781,2162.979136239821,14.67394198386256,733.6970991931278,0.4706666666666667,0.0,prosperity,0.01
109,1.9999999999999996,202.0,28.0,0.019999999999999997,630.8897873469948,2215.436899605655,15.03759921942376,751.8799609711882,0.45399999999999996,0.0,prosperity,0.01
110,1.9999999999999996,212.0,29.0,0.019999999999999997,714.4630804111725,2291.2457340246333,15.259280735706113,762.9640367853057,0.44800000000000006,0.0,prosperity,0.01
111,1.9999999999999996,218.0,30.0,0.019999999999999997,766.8622193144208,2374.5466102803666,15.533369464095859,776.6684732047931,0.4660000000000001,0.0,prosperity,0.01
112,1.9999999999999996,230.0,30.0,0.019999999999999997,897.3497750004174,2432.8494919717004,15.937952399240226,796.8976199620113,0.41600000000000004,0.0,prosperity,0.01
113,1.9999999999999996,238.0,30.0,0.019999999999999997,959.0345672263318,2509.857409900722,16.58167425051162,829.0837125255811,0.3666666666666667,0.0,prosperity,0.01
114,1.9999999999999996,244.0,32.0,0.019999999999999997,1049.796196351707,2559.5130614424816,16.19268775262563,809.6343876312815,0.3746666666666666,0.0,prosperity,0.01
115,1.9999999999999996,264.0,32.0,0.019999999999999997,1245.1673538082273,2581.7966700187035,16.12973098454845,806.4865492274224,0.3466666666666666,0.0,prosperity,0.01
116,1.9999999999999996,276.0,32.0,0.019999999999999997,1391.4040310219107,2648.2315556961103,16.62135195598748,831.067597799374,0.31066666666666665,0.0,prosperity,0.01
117,1.9999999999999996,288.0,32.0,0.019999999999999997,1524.8106986842972,2688.3488080982465,16.77261655960693,838.6308279803463,0.28900000000000003,0.0,prosperity,0.01
118,1.9999999999999996,308.0,33.0,0.019999999999999997,1784.6112088667523,2741.592761711729,16.917114503443553,845.8557251721779,0.261,0.0,prosperity,0.01
119,1.9999999999999996,318.0,34.0,0.019999999999999997,1899.498822997501,2759.8869110792043,15.947398624935767,797.3699312467886,0.24900000000000003,20.0,prosperity,0.01
120,3.0,332.0,35.0,0.03,2047.0906445191904,2784.0369289176942,15.161451039875544,758.072551993777,0.249,0.0,prosperity,0.01
121,3.0,346.0,36.0,0.03,2226.5809703947098,2810.0262193191093,14.755944811504872,737.7972405752437,0.22899999999999998,0.0,prosperity,0.01
122,3.0,364.0,38.0,0.03,2362.068207716952,2822.570684543628,13.658766313475446,682.9383156737728,0.24400000000000002,0.0,prosperity,0.01
123,3.0,376.0,41.0,0.03,2473.097550406521,2828.225497975048,11.928282992075635,596.4141496037819,0.27599999999999997,0.0,prosperity,0.01
124,3.0,390.0,41.0,0.03,2628.717392420489,2834.422323534301,11.620860050245525,581.0430025122764,0.25999999999999995,0.0,prosperity,0.01
125,3.0,406.0,42.0,0.03,2840.2907411106107,2845.786323532812,11.02125391456433,551.0626957282167,0.264,0.0,prosperity,0.01
126,3.0,422.0,42.0,0.03,2986.729033095209,2865.511281806967,10.919805520990815,545.9902760495409,0.256,0.0,prosperity,0.01
127,3.0,438.0,42.0,0.03,3123.4043285119487,2883.8297614251883,10.809969903307298,540.498495165365,0.236,0.0,prosperity,0.01
128,3.0,450.0,43.0,0.03,3191.0051508353936,2888.287498866865,10.143688486347614,507.1844243173805,0.264,0.0,prosperity,0.01
129,3.0,466.0,46.0,0.03,3298.475984140977,2897.939021659076,9.154088158126662,457.7044079063332,0.316,0.0,prosperity,0.01
130,3.0,474.0,47.0,0.03,3356.11258566327,2910.743947526469,8.628546142345039,431.427307117252,0.316,0.0,prosperity,0.01
131,3.0,486.0,50.0,0.03,3438.3767552651825,2926.4998655724976,7.7970321486638525,389.8516074331925,0.39199999999999996,0.0,prosperity,0.01
132,3.0,494.0,51.0,0.03,3499.3170353650103,2933.4338249497873,7.197263200806894,359.8631600403449,0.424,0.0,prosperity,0.01
133,3.0,504.0,51.0,0.03,3559.7398439085546,2951.4177157193035,7.195370335260297,359.76851676301493,0.408,0.0,prosperity,0.01
134,3.0,512.0,54.0,0.03,3599.7858731222395,2968.250280354662,5.832731730819157,291.6365865409579,0.5000000000000001,0.0,prosperity,0.01
135,3.0,512.0,54.0,0.03,3599.7858731222395,2980.3784064141987,5.809362981921553,290.46814909607764,0.49999999999999994,0.0,prosperity,0.01
136,3.0,518.0,54.0,0.03,3667.021513665266,2990.3000976035482,5.752080933574914,287.60404667874576,0.496,0.0,prosperity,0.01
137,3.0,524.0,54.0,0.03,3707.241135657262,3006.6635858717173,5.777236386976329,288.86181934881637,0.49199999999999994,0.0,prosperity,0.01
138,3.0,530.0,54.0,0.03,3737.1443463795795,3022.1121625721935,5.79279901913469,289.6399509567346,0.484,0.0,prosperity,0.01
139,3.0,532.0,55.0,0.03,3745.895556651737,3051.5191361654893,5.7473538766068994,287.36769383034493,0.49200000000000005,42.0,prosperity,0.01
140,4.0,534.0,55.0,0.04,3765.669010807873,3072.939332961182,5.842733905115864,292.1366952557931,0.48,0.0,prosperity,0.01
141,4.0,542.0,56.0,0.04,3812.372663174372,3094.920303984061,5.672319113814755,283.61595569073774,0.47200000000000003,0.0,prosperity,0.01
142,4.0,544.0,56.0,0.04,3820.7800860065463,3117.816092109782,5.724645309705763,286.2322654852882,0.46400000000000013,0.0,prosperity,0.01
143,4.0,546.0,56.0,0.04,3842.562963293156,3132.212074424524,5.665939733987424,283.2969866993712,0.46,0.0,prosperity,0.01
144,4.0,548.0,57.0,0.04,3862.2453369112927,3150.7769008804817,5.282746799378163,264.1373399689081,0.4720000000000001,0.0,prosperity,0.01
145,4.0,552.0,58.0,0.04,3877.489881728474,3188.4642769249476,5.297119901168625,264.85599505843135,0.49200000000000005,0.0,prosperity,0.01
146,4.0,558.0,58.0,0.04,3893.9842363638827,3216.42963647004,5.429533480766148,271.47667403830746,0.4720000000000001,0.0,prosperity,0.01
147,4.0,562.0,59.0,0.04,3918.5451599833596,3246.2338446720996,5.173191479533769,258.65957397668853,0.456,0.0,prosperity,0.01
148,4.0,570.0,59.0,0.04,3965.8242478922393,3259.2260819198914,5.112973191594087,255.6486595797043,0.444,0.0,prosperity,0.01
149,4.0,572.0,60.0,0.04,3977.1402101408257,3274.19086156723,4.847944654047462,242.39723270237303,0.44800000000000006,0.0,prosperity,0.01
150,4.0,574.0,61.0,0.04,3983.916112831338,3287.912413390643,4.6253322877577885,231.2666143878895,0.44799999999999995,0.0,prosperity,0.01
151,4.0,578.0,61.0,0.04,3997.9874223955667,3304.2854268820884,4.6443014802865585,232.21507401432788,0.43199999999999994,0.0,prosperity,0.01
152,4.0,580.0,62.0,0.04,4000.0187252482638,3325.2914376047333,4.616943436900596,230.8471718450298,0.44800000000000006,0.0,prosperity,0.01
153,4.0,586.0,62.0,0.04,4032.93530435938,3351.578500254059,4.753252836267444,237.66264181337218,0.44400000000000006,0.0,prosperity,0.01
154,4.0,590.0,62.0,0.04,4062.4675859554764,3371.060536868468,4.793318723436906,239.6659361718453,0.43599999999999994,0.0,prosperity,0.01
155,4.0,592.0,62.0,0.04,4084.157249225562,3391.352016783889,4.84462728507035,242.2313642535175,0.42800000000000005,0.0,prosperity,0.01
156,4.0,592.0,62.0,0.04,4084.157249225562,3411.036275693355,4.894577909420446,244.7288954710222,0.428,0.0,prosperity,0.01
157,4.0,594.0,62.0,0.04,4086.0477853599386,3441.2291278026146,5.07221620200613,253.6108101003065,0.42400000000000004,0.0,prosperity,0.01
158,4.0,598.0,63.0,0.04,4104.737559629993,3467.8721103679377,5.026615747322277,251.33078736611378,0.43999999999999995,0.0,prosperity,0.01
